Series,x_vector,y_vector
S1,-0.3027488644,1.613358081
S1,1.987324524,5.149046816
S1,1.44651963,0.03351477463
S1,1.385945681,0.7642181107
S1,-0.8103446822,0.3525732321
S1,-1.561942014,4.338790225
S1,-0.1950268299,0.1798753345
S1,-0.4396120168,0.2855819994
S1,0.1512543197,0.1216819974
S1,0.8111419339,1.250922508
S1,-0.1790394547,1.306897551
S1,-0.1545788096,1.030884419
S1,0.08568253479,-2.354488168
S1,-0.2302907524,-2.051026336
S1,-0.01302715713,-0.08426976472
S1,-0.6663627241,1.200368699
S1,-1.786302295,1.610159838
S1,-1.169496261,2.074967461
S1,0.282897661,-0.9659565862
S1,0.4503833341,0.461986482
S1,0.3585626439,0.1268823516
S1,0.04616912515,-1.173421488
S1,1.457891004,3.870074943
S1,2.484994184,6.8934706
S1,3.765155716,17.03854032
S1,4.200030209,18.3582399
S1,4.263971595,17.85218189
S1,4.550418808,20.57583179
S1,4.586239351,20.48626324
S1,3.156809106,8.683683432
S1,5.150750593,24.35972009
S1,3.747743462,14.04614427
S1,4.512661983,21.90811978
S1,3.051104852,9.69783491
S1,2.004703253,3.704007188
S1,1.195557107,2.220190138
S1,-0.06187781578,0.1924144546
S1,-0.1288742673,0.6009505094
S1,-0.9716599838,1.459115512
S1,-0.7662136259,0.4168489742
S1,1.289512164,2.704043737
S1,1.962629176,4.173065668
S1,0.1729084933,-1.527695193
S1,0.6419796606,1.038545679
S1,0.684563191,2.442276845
S1,2.592766372,7.02592072
S1,2.968275436,10.80022232
S1,2.561400087,7.041096456
S1,1.170858539,1.916067894
S1,1.15910525,1.110883299
S1,2.291120753,3.193109622
S1,1.282533551,0.4975315708
S1,0.4531155673,0.02526204288
S1,1.414984822,0.9018673733
S1,2.261007425,3.543240918
S1,1.858412399,3.405353433
S1,1.27798107,1.035345494
S1,0.942249388,3.305173191
S1,2.001354458,4.115000309
S1,1.959909985,4.291199158
S1,2.1205707,4.987594022
S1,3.645947748,13.34315452
S1,4.333018957,19.42974257
S1,5.333412426,28.97707079
S1,6.787139107,46.83597587
S1,6.135004725,38.63140865
S1,5.726069786,33.83138529
S1,5.606970769,31.49594498
S1,5.783229663,32.18249951
S1,4.992493428,22.27136431
S1,4.96980873,24.24956376
S1,4.012685172,14.58423691
S1,4.165538309,17.03364821
S1,3.010063858,8.817827138
S1,2.627207661,7.194960989
S1,3.887402958,16.78381486
S1,3.34880953,12.91244099
S1,2.483947068,7.088666701
S1,2.945163156,8.90630086
S1,-0.1971979922,0.461095967
S1,-0.08535234989,-0.04057973874
S1,0.1256744685,-1.577718507
S1,2.463816973,8.019519917
S1,1.779747041,4.354164087
S1,0.8885383155,1.963650486
S1,3.129544228,9.288207907
S1,3.340310369,11.73593163
S1,3.167428894,10.52479853
S1,3.521134661,10.83108473
S1,2.897693703,8.228609098
S1,1.541776576,2.754681187
S1,2.235641568,5.401190155
S1,2.212868359,4.269287008
S1,2.003307347,5.895899125
S1,0.5874172194,2.200607307
S1,-0.2375702342,0.7527402877
S1,0.2566890349,-0.5763140407
S1,-0.707775629,-0.4366486454
S1,-0.1728502529,-1.269533146
S1,1.077945731,0.5073713702
S1,1.971328273,2.047907347
S1,0.5440130566,0.7935038979
S1,0.6437691915,-1.049042481
S1,0.6214961144,-0.8119087504
S1,1.495383227,2.917274026
S1,1.803830553,3.661424148
S1,0.4052089834,1.302511733
S1,0.04658915246,0.5038935379
S1,1.171448163,1.305248088
S1,2.047605678,4.632742557
S1,3.775821304,12.7348654
S1,2.606297579,6.902408728
S1,1.805237679,3.447927628
S1,1.340646872,2.578375236
S1,2.268968357,5.101708094
S1,2.257663448,5.192810175
S1,3.627724003,11.82512358
S1,4.006386486,16.59991858
S1,3.948518121,13.68555182
S1,5.580763948,31.34920061
S1,5.820123551,34.28187713
S1,6.220991635,40.12748796
S1,5.937952089,36.18454579
S1,5.476009334,31.01100244
S1,4.481173816,18.28277665
S1,2.975284903,10.45464213
S1,2.603671837,6.343673679
S1,2.500807025,8.901155813
S1,4.203394507,16.99477605
S1,5.171636696,25.56701265
S1,4.556743716,21.4774639
S1,5.26270116,27.68392244
S1,3.91422689,16.5810418
S1,3.838321982,14.25573884
S1,4.118166383,16.01657331
S1,2.214869701,5.666323343
S1,3.296831997,10.61914979
S1,2.444190275,7.05292929
S1,0.5115242894,0.9045013318
S1,-0.756750476,0.345076629
S1,-2.689668159,7.410264328
S1,-2.967221416,9.173022742
S1,-1.993056284,2.80332391
S1,-2.454962244,5.447407086
S1,-3.559031416,12.96404438
S1,-3.71466381,15.65117554
S1,-3.522756104,13.21652423
S1,-3.100058818,10.09855213
S1,-2.497487964,7.163947472
S1,-2.617631503,7.31030458
S1,-2.563183322,5.917965386
S1,-1.311974647,2.93708194
S1,0.3343744455,-0.974702092
S1,-0.5102056039,-0.7147939537
S1,0.006516328384,0.3130687753
S1,0.02476748898,1.69214642
S1,1.3444773,1.235231685
S1,2.207484171,5.924249469
S1,3.173326107,9.888743805
S1,2.714389188,7.853555702
S1,3.623410354,11.69316977
S1,4.151380947,16.17202271
S1,2.674404436,9.045045728
S1,1.60859848,2.612079765
S1,2.901775751,8.488156233
S1,2.295634118,2.697519483
S1,3.496548534,13.4461492
S1,3.98065582,15.71192181
S1,2.710632172,7.802149835
S1,2.036114135,4.507441165
S1,0.6369202819,0.7970842344
S1,0.7953077532,0.2304863942
S1,-2.784043596,9.635896369
S1,-1.433443815,2.190550379
S1,-1.070887804,0.9776615789
S1,-0.2025725362,1.662861067
S1,-0.4147845219,-0.2009691525
S1,1.040785547,-0.2632294713
S1,1.178355395,-0.700159303
S1,0.1378501848,-0.082615669
S1,0.05265650122,-0.5916232937
S1,0.9507654357,0.6880618387
S1,-0.5428776217,0.3699761106
S1,-0.5872108359,2.511741956
S1,-1.353993903,2.478704456
S1,-2.831733691,7.821383047
S1,-0.5939467711,1.626450349
S1,-0.3969033337,-0.1498069689
S1,0.1370404885,0.5408016224
S1,0.2555831854,1.227955616
S1,-1.338443764,1.69858283
S1,-1.198480816,-0.4655919158
S1,0.2091401611,-0.4495265946
S1,1.574082713,4.341428773
S1,0.9782972474,0.7442565084
S1,2.445209494,7.11570949
S1,3.822074748,15.05099483
S1,4.445547981,19.83280133
S1,5.888919122,32.05348529
S1,6.609441864,44.40113559
S1,6.806125917,45.71873828
S1,4.520883617,20.06780418
S1,4.983149694,24.29811251
S1,4.810323627,24.95139993
S1,3.732307826,12.73381264
S1,3.395505374,8.837689037
S1,2.229516572,5.517257502
S1,3.334640877,11.88875619
S1,2.996073544,8.78969888
S1,1.512309886,2.057721436
S1,1.578255112,4.121074832
S1,0.2079312999,-2.121436015
S1,-1.134952459,0.2103410476
S1,-2.883688392,9.054773663
S1,-3.417544654,12.06622019
S1,-3.720025473,15.13498669
S1,-2.50660712,5.479520898
S1,-2.978664333,7.269815541
S1,-1.669881739,3.721755993
S1,-2.919614533,10.33023827
S1,-3.699389468,13.6289788
S1,-4.58891512,22.94405329
S1,-5.810585859,35.34129145
S1,-6.10878873,37.81958437
S1,-5.91873358,35.46132141
S1,-6.34316777,38.97013183
S1,-6.022709124,38.50925753
S1,-4.734212328,22.74473474
S1,-3.543992322,12.4205992
S1,-5.075494019,25.02604571
S1,-4.528320533,17.72809408
S1,-5.450906395,29.38952657
S1,-5.353654975,27.62603512
S1,-5.050817425,25.56550931
S1,-5.465062981,31.41059831
S1,-6.007496649,37.05446225
S1,-5.585244448,29.3626527
S1,-5.240628171,27.59714497
S1,-6.704949279,43.92294279
S1,-7.305288445,51.63895205
S1,-5.641369725,30.66518134
S1,-5.94928489,34.0005471
S1,-5.096527667,24.97266282
S1,-5.03664476,26.71618238
S1,-5.472937959,28.17721352
S1,-5.116592417,26.54989265
S1,-4.692615964,22.06260517
S1,-3.652438437,13.20755605
S1,-3.682017384,13.54330999
S1,-4.350345917,18.5594703
S1,-5.429503436,29.37433361
S1,-7.70268921,60.99166544
S1,-6.781296738,47.54106307
S1,-6.418766235,41.64376492
S1,-5.050896939,25.07289317
S1,-5.304756953,29.35031479
S1,-4.391557131,17.86284804
S1,-3.686260483,13.52961869
S1,-4.708948971,22.37793671
S1,-4.476471724,20.78180973
S1,-2.665788376,6.728728735
S1,-3.525723214,14.80940436
S1,-3.289414498,9.93231578
S1,-2.467529253,5.052624363
S1,-2.577260745,9.010059372
S1,-1.702719032,3.460406143
S1,-1.076505176,0.7129233418
S1,-1.857838999,2.517149235
S1,-1.630135185,3.136842277
S1,-1.833049479,3.597050942
S1,-1.27471209,0.2854885054
S1,-2.317399078,5.262909455
S1,-2.309351067,5.910825473
S1,-2.143645774,5.049274085
S1,-1.725584424,1.787318772
S1,-1.460417713,4.106029799
S1,-2.447177885,4.912642117
S1,-3.298453514,11.07374675
S1,-3.694867349,14.73808511
S1,-4.793022641,23.05179197
S1,-2.566733743,8.058305474
S1,-2.367212326,8.318025341
S1,-2.650945735,8.143862977
S1,-2.714164206,8.355445443
S1,-2.971677774,7.804941467
S1,-2.913229495,10.18133198
S1,-2.960879914,8.722951933
S1,-3.445132154,12.27785989
S1,-3.644559532,13.39802366
S1,-4.19492343,17.42097938
S1,-4.798465135,25.10698395
S1,-3.970789684,17.81623691
S1,-4.304373635,17.68294357
S1,-2.619013598,6.436647563
S1,-2.362016854,5.579080672
S1,-1.366300758,0.6423887632
S1,-1.775450265,3.768368552
S1,-3.929608918,16.03461533
S1,-3.717509704,15.17548302
S1,-2.39946664,4.919481738
S1,-2.354898469,6.550081253
S1,-2.680868451,8.104237752
S1,-2.28674664,5.082587298
S1,-2.15906753,3.400244324
S1,-3.014998669,8.836652244
S1,-1.206941112,3.123657507
S1,-1.371659977,2.603764608
S1,-2.821651914,8.555625152
S1,-4.016152861,13.24446587
S1,-3.285816402,10.81270088
S1,-1.728264441,3.601606903
S1,-0.5152234112,-0.8697290523
S1,-0.5008215852,-0.2252289774
S1,0.464556296,0.5315172906
S1,1.229183672,1.674783891
S1,1.254666426,2.531846197
S1,1.224734075,1.368877233
S1,2.716354727,7.331820857
S1,0.1756589485,1.11341996
S1,0.3342052859,0.1677874297
S1,-0.08563165976,-1.274275834
S1,-1.827193773,2.443855608
S1,-2.429677206,6.676755973
S1,-2.447859526,6.75939048
S1,-2.783704519,8.449984846
S1,-1.660522515,3.296220517
S1,-0.8902709157,1.923912296
S1,-1.956361743,3.388975061
S1,-1.316956888,3.136692955
S1,-0.4709310653,-1.116728512
S1,-1.639573438,3.452226422
